ActivoA,ActivoB,Algoritmo,Complejidad,Valor
AMZN,ADBE,Distancia Euclidiana,O(n),0,792535
AMZN,ADBE,Correlacion de Pearson,O(n),0,505040
AMZN,ADBE,Dynamic Time Warping (DTW),O(n*m),15,014462
AMZN,ADBE,Similitud por Coseno,O(n),0,504455
AMZN,NFLX,Distancia Euclidiana,O(n),0,921218
AMZN,NFLX,Correlacion de Pearson,O(n),0,460356
AMZN,NFLX,Dynamic Time Warping (DTW),O(n*m),15,759559
AMZN,NFLX,Similitud por Coseno,O(n),0,460860
AMZN,INTC,Distancia Euclidiana,O(n),1,122909
AMZN,INTC,Correlacion de Pearson,O(n),0,353845
AMZN,INTC,Dynamic Time Warping (DTW),O(n*m),19,475657
AMZN,INTC,Similitud por Coseno,O(n),0,354393
AMZN,CSCO,Distancia Euclidiana,O(n),0,769960
AMZN,CSCO,Correlacion de Pearson,O(n),0,371589
AMZN,CSCO,Dynamic Time Warping (DTW),O(n*m),14,110055
AMZN,CSCO,Similitud por Coseno,O(n),0,372297
NVDA,META,Distancia Euclidiana,O(n),1,079317
NVDA,META,Correlacion de Pearson,O(n),0,498574
NVDA,META,Dynamic Time Warping (DTW),O(n*m),20,079959
NVDA,META,Similitud por Coseno,O(n),0,499347
NVDA,TSLA,Distancia Euclidiana,O(n),1,284711
NVDA,TSLA,Correlacion de Pearson,O(n),0,464512
NVDA,TSLA,Dynamic Time Warping (DTW),O(n*m),23,540685
NVDA,TSLA,Similitud por Coseno,O(n),0,465250
NVDA,JPM,Distancia Euclidiana,O(n),1,101299
NVDA,JPM,Correlacion de Pearson,O(n),0,330674
NVDA,JPM,Dynamic Time Warping (DTW),O(n*m),21,077318
NVDA,JPM,Similitud por Coseno,O(n),0,332709
NVDA,JNJ,Distancia Euclidiana,O(n),1,247347
NVDA,JNJ,Correlacion de Pearson,O(n),-0,096720
NVDA,JNJ,Dynamic Time Warping (DTW),O(n*m),22,725440
NVDA,JNJ,Similitud por Coseno,O(n),-0,094170
NVDA,V,Distancia Euclidiana,O(n),1,090104
NVDA,V,Correlacion de Pearson,O(n),0,343659
NVDA,V,Dynamic Time Warping (DTW),O(n*m),21,354473
NVDA,V,Similitud por Coseno,O(n),0,344584
NVDA,PG,Distancia Euclidiana,O(n),1,218415
NVDA,PG,Correlacion de Pearson,O(n),0,005233
NVDA,PG,Dynamic Time Warping (DTW),O(n*m),22,337133
NVDA,PG,Similitud por Coseno,O(n),0,006077
NVDA,UNH,Distancia Euclidiana,O(n),1,316909
NVDA,UNH,Correlacion de Pearson,O(n),0,061631
NVDA,UNH,Dynamic Time Warping (DTW),O(n*m),22,013862
NVDA,UNH,Similitud por Coseno,O(n),0,061921
NVDA,HD,Distancia Euclidiana,O(n),1,116808
NVDA,HD,Correlacion de Pearson,O(n),0,303613
NVDA,HD,Dynamic Time Warping (DTW),O(n*m),21,034324
NVDA,HD,Similitud por Coseno,O(n),0,302986
NVDA,MA,Distancia Euclidiana,O(n),1,079808
NVDA,MA,Correlacion de Pearson,O(n),0,367301
NVDA,MA,Dynamic Time Warping (DTW),O(n*m),21,282990
NVDA,MA,Similitud por Coseno,O(n),0,367944
NVDA,DIS,Distancia Euclidiana,O(n),1,103217
NVDA,DIS,Correlacion de Pearson,O(n),0,361855
NVDA,DIS,Dynamic Time Warping (DTW),O(n*m),20,821244
NVDA,DIS,Similitud por Coseno,O(n),0,359349
NVDA,PYPL,Distancia Euclidiana,O(n),1,182381
NVDA,PYPL,Correlacion de Pearson,O(n),0,380805
NVDA,PYPL,Dynamic Time Warping (DTW),O(n*m),20,524671
NVDA,PYPL,Similitud por Coseno,O(n),0,376606
NVDA,ADBE,Distancia Euclidiana,O(n),1,053925
NVDA,ADBE,Correlacion de Pearson,O(n),0,470165
NVDA,ADBE,Dynamic Time Warping (DTW),O(n*m),20,436317
NVDA,ADBE,Similitud por Coseno,O(n),0,467708
NVDA,NFLX,Distancia Euclidiana,O(n),1,153787
NVDA,NFLX,Correlacion de Pearson,O(n),0,416515
NVDA,NFLX,Dynamic Time Warping (DTW),O(n*m),21,165820
